gene,symbol,metric,panel
ENSG00000173039,RELA,0.32648355,False
ENSG00000165475,CRYL1,0.3263448,False
ENSG00000160633,SAFB,0.32626098,False
ENSG00000160049,DFFA,0.3260407,False
ENSG00000164733,CTSB,0.32550895,False
ENSG00000100503,NIN,0.32547027,False
ENSG00000095261,PSMD5,0.32542711,False
ENSG00000119771,KLHL29,0.3250592,False
ENSG00000075539,FRYL,0.3243599,False
ENSG00000092820,EZR,0.32427168,False
ENSG00000122566,HNRNPA2B1,0.32426092,False
ENSG00000147044,CASK,0.32419467,False
ENSG00000162511,LAPTM5,0.3241109,False
ENSG00000240230,COX19,0.32410812,False
ENSG00000159228,CBR1,0.3236254,False
ENSG00000147123,NDUFB11,0.3233708,False
ENSG00000109466,KLHL2,0.3233433,False
ENSG00000171681,ATF7IP,0.3230574,False
ENSG00000010818,HIVEP2,0.32274085,False
ENSG00000101191,DIDO1,0.32260504,False
ENSG00000117616,RSRP1,0.32215753,False
ENSG00000171055,FEZ2,0.32178265,False
ENSG00000182372,CLN8,0.32177156,False
ENSG00000155792,DEPTOR,0.32171446,False
ENSG00000068745,IP6K2,0.3214752,False
ENSG00000106609,TMEM248,0.32115865,False
ENSG00000182752,PAPPA,0.321099,False
ENSG00000177700,POLR2L,0.32102674,False
ENSG00000162616,DNAJB4,0.32089832,False
ENSG00000134884,ARGLU1,0.32066572,False
ENSG00000170144,HNRNPA3,0.3200921,False
ENSG00000133065,SLC41A1,0.3199925,False
ENSG00000163577,EIF5A2,0.31969672,False
ENSG00000132466,ANKRD17,0.3196348,False
ENSG00000162368,CMPK1,0.31957015,False
ENSG00000074964,ARHGEF10L,0.31955448,False
ENSG00000221983,UBA52,0.31903094,False
ENSG00000166233,ARIH1,0.31863904,False
ENSG00000134202,GSTM3,0.3185985,False
ENSG00000077063,CTTNBP2,0.31835803,False
ENSG00000138398,PPIG,0.3180513,False
ENSG00000164741,DLC1,0.31773907,False
ENSG00000013441,CLK1,0.31769967,False
ENSG00000111674,ENO2,0.3175223,False
ENSG00000131558,EXOC4,0.31714532,False
ENSG00000164199,ADGRV1,0.31686935,False
ENSG00000137409,MTCH1,0.31685984,False
ENSG00000206573,THUMPD3-AS1,0.31666946,False
ENSG00000178718,RPP25,0.31646675,False
ENSG00000136824,SMC2,0.31636694,False
ENSG00000111361,EIF2B1,0.31631476,False
ENSG00000172020,GAP43,0.3162503,False
ENSG00000139174,PRICKLE1,0.3151471,False
ENSG00000197063,MAFG,0.314696,False
ENSG00000188994,ZNF292,0.31370887,False
ENSG00000181638,ZFP41,0.3136651,False
ENSG00000179889,PDXDC1,0.3131238,False
ENSG00000170581,STAT2,0.31234995,False
ENSG00000158062,UBXN11,0.3119537,False
ENSG00000186487,MYT1L,0.311805,False
ENSG00000013288,MAN2B2,0.31160346,False
ENSG00000049656,CLPTM1L,0.31125993,False
ENSG00000088899,LZTS3,0.31072202,False
ENSG00000139970,RTN1,0.31056553,False
ENSG00000124193,SRSF6,0.31054202,False
ENSG00000133030,MPRIP,0.31031114,False
ENSG00000198586,TLK1,0.3102241,False
ENSG00000042753,AP2S1,0.3100372,False
ENSG00000215218,UBE2QL1,0.30979592,False
ENSG00000173273,TNKS,0.30951554,False
