gene,symbol,importance,rank,direction_rho,direction,top50_fold_frequency
ENSG00000120451,SNX19,5.5302645383548266e-05,4704,-0.09053379416282148,higher rank -> less PD-like,0.0
ENSG00000150938,CRIM1,5.529444394136121e-05,4705,-0.03192242610668094,higher rank -> less PD-like,0.0
ENSG00000117758,STX12,5.5289479919630504e-05,4706,-0.17302915022786686,higher rank -> less PD-like,0.0
ENSG00000198794,SCAMP5,5.5272915891864455e-05,4707,-0.1251920122887796,higher rank -> less PD-like,0.0
ENSG00000186806,VSIG10L,5.5269509903173256e-05,4708,0.11616743471581543,higher rank -> more PD-like,0.0
ENSG00000142235,LMTK3,5.52691532464339e-05,4709,-0.018529185867894527,higher rank -> less PD-like,0.0
ENSG00000103111,MON1B,5.5254046329719287e-05,4710,-0.03269009216589683,higher rank -> less PD-like,0.0
ENSG00000075391,RASAL2,5.524328015748343e-05,4711,0.07080453149001148,higher rank -> more PD-like,0.0
ENSG00000116688,MFN2,5.5242620040364054e-05,4712,0.03451420890936831,higher rank -> more PD-like,0.0
ENSG00000027847,B4GALT7,5.524240562420674e-05,4713,-0.0950712254199724,higher rank -> less PD-like,0.0
ENSG00000137996,RTCA,5.523776310743934e-05,4714,-0.06235599078340675,higher rank -> less PD-like,0.0
ENSG00000147454,SLC25A37,5.521411506889191e-05,4715,0.10056643625191462,higher rank -> more PD-like,0.0
ENSG00000088808,PPP1R13B,5.5188944221458604e-05,4716,-0.001968149579509633,higher rank -> less PD-like,0.0
ENSG00000188994,ZNF292,5.518253987955672e-05,4717,0.23214285714284447,higher rank -> more PD-like,0.0
ENSG00000106688,SLC1A1,5.517392649145024e-05,4718,-0.018385176651304676,higher rank -> less PD-like,0.0
ENSG00000072803,FBXW11,5.517343100854591e-05,4719,-0.07147657450076408,higher rank -> less PD-like,0.0
ENSG00000048544,MRPS10,5.516527630457863e-05,4720,-0.04073158439115591,higher rank -> less PD-like,0.0
ENSG00000128524,ATP6V1F,5.5161398008194716e-05,4721,-0.1256240399385492,higher rank -> less PD-like,0.0
ENSG00000140939,NOL3,5.515953444825212e-05,4722,-0.21682987711212334,higher rank -> less PD-like,0.0
ENSG00000196792,STRN3,5.515783441920789e-05,4723,0.1632364059785994,higher rank -> more PD-like,0.0
ENSG00000162065,TBC1D24,5.515655603762348e-05,4724,-0.031298003072194915,higher rank -> less PD-like,0.0
ENSG00000067533,RRP15,5.5141080199561726e-05,4725,-0.03384216589861567,higher rank -> less PD-like,0.0
ENSG00000116489,CAPZA1,5.5115223491905385e-05,4726,0.04349078341013581,higher rank -> more PD-like,0.0
ENSG00000168288,MMADHC,5.510255171035136e-05,4727,-0.03182641881011952,higher rank -> less PD-like,0.0
ENSG00000158716,DUSP23,5.5079618220106285e-05,4728,-0.08215824403245785,higher rank -> less PD-like,0.0
ENSG00000095574,IKZF5,5.50695308670436e-05,4729,-0.007488479262672382,higher rank -> less PD-like,0.0
ENSG00000089053,ANAPC5,5.5068158814009844e-05,4730,0.04469086021505131,higher rank -> more PD-like,0.0
ENSG00000014216,CAPN1,5.505682997406544e-05,4731,-0.04495541661489732,higher rank -> less PD-like,0.0
ENSG00000105325,FZR1,5.505667224885385e-05,4732,-0.08573348694315966,higher rank -> less PD-like,0.0
ENSG00000110675,ELMOD1,5.505029542181481e-05,4733,0.10479070660521701,higher rank -> more PD-like,0.0
ENSG00000203879,GDI1,5.504862142607266e-05,4734,0.022273692802255555,higher rank -> more PD-like,0.0
ENSG00000182195,LDOC1,5.5047596783318465e-05,4735,-0.06461213517664775,higher rank -> less PD-like,0.0
ENSG00000117602,RCAN3,5.5037970512681343e-05,4736,-0.058323732718890825,higher rank -> less PD-like,0.0
ENSG00000198053,SIRPA,5.5033744606335635e-05,4737,0.2654089861751007,higher rank -> more PD-like,0.0
