cohort,gene,symbol,g,v,g_adj,v_adj
GSE168496,ENSG00000136040,PLXNC1,0.7340131182898181,0.2668367268069232,1.430465241834662,0.3139447127530343
GSE168496,ENSG00000136235,GPNMB,0.4139796271214538,0.25535559786473805,0.4056088919216547,0.25514120541268476
GSE168496,ENSG00000139874,SSTR1,-1.1108870100524049,0.28856468590947415,0.17796918996339606,0.2509897822680071
GSE168496,ENSG00000140600,SH3GL3,-1.077895546911929,0.2863080878141427,-0.44846709596715956,0.25628508550516305
GSE168496,ENSG00000141837,CACNA1A,0.6736645933595722,0.26418199951082244,0.924564688313425,0.27671312071487814
GSE168496,ENSG00000143847,PPFIA4,0.39359235401354103,0.25484109191056004,1.2235894271000443,0.2967865964409692
GSE168496,ENSG00000144619,CNTN4,-0.3967657742728129,0.254919471238572,1.0212006435942778,0.28258908607741773
GSE168496,ENSG00000145050,MANF,0.3224822831526103,0.2532498382171038,0.27570085696121166,0.2523753425790358
GSE168496,ENSG00000152484,USP12,-1.296298418800342,0.3025121747057583,-0.4239598063414033,0.2556169349185325
GSE168496,ENSG00000164151,ICE1,0.34110864151182,0.2536360970410637,0.554467219486824,0.2596073092964203
GSE168496,ENSG00000164181,ELOVL7,-0.4869903474685363,0.2574112374539852,-1.2257179415897446,0.29694951476046877
GSE168496,ENSG00000172137,CALB2,0.09931091113838916,0.25030820803347303,1.0108286999131546,0.2819304581427537
GSE168496,ENSG00000173611,SCAI,0.10046215533112152,0.25031539514543044,0.6775564769835378,0.26434633685944825
GSE168496,ENSG00000173914,RBM4B,0.6668961957463083,0.26389845424690306,1.3184590724407548,0.30432294767816676
GSE168496,ENSG00000182919,C11orf54,0.0068776933364694225,0.25000147820830093,-0.4194372228992545,0.25549773699854494
GSE168496,ENSG00000185513,L3MBTL1,0.9075255537016896,0.2757375822069237,0.9164261543120042,0.27624490300959653
GSE168496,ENSG00000196367,TRRAP,0.9694322963948008,0.2793687180404155,0.5421196324375945,0.259184177996071
GSE168496,ENSG00000197448,GSTK1,-0.26492459086592823,0.25219328246392125,0.10140387730863412,0.25032133582291327
