,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000230223,0.04218424,0.3637453,0.103477694,8.681032,10.6806555,0.0,6.1087813,0.0,0.0,0.16232027,0.0,48.591095
ENSG00000230426,5.4161215,14.245792,25.976229,10.447977,10.371623,4.7535005,6.6490083,2.6079352,27.202768,3.3962064,210.96031,4.537454
ENSG00000230479,0.23613997,0.28372115,0.48221654,0.7814286,0.26948062,15.589608,0.3780714,3.9725769,0.22375397,0.7181975,0.0,0.0
ENSG00000230500,0.0067999517,0.29579297,0.0,0.4331933,0.0,0.0,0.4779418,0.0,0.9891775,0.0,0.0,5.0866146
ENSG00000230525,0.05028743,0.046118654,0.0,0.21051706,0.10476234,0.0,0.2792643,0.070252694,0.7680609,0.0,11.514538,0.0
ENSG00000230615,11.355091,10.777186,6.059503,1.4888581,32.4408,1.0059578,1.354353,1.7512952,4.516462,0.9784727,0.0,1.6382135
ENSG00000230630,0.71514726,0.118055776,0.013899013,0.17559291,0.65692663,0.92806,0.20118195,10.950342,0.13175681,0.18922725,0.0,0.0
ENSG00000230749,2.378692,0.5115079,0.08988749,0.2587557,1.3498107,0.0,0.02076002,0.0,2.0145082,0.026906991,16.652954,0.0
ENSG00000231057,0.43886766,1.0521439,0.20971154,0.19834338,0.2600803,0.0,0.101295926,0.19633351,62.640034,0.0,0.0,0.8838403
ENSG00000231107,2.2551498,1.0411578,1.027795,1.2295779,1.2279458,1.2966421,3.757107,1.3027833,1.181211,40.036407,3.3083317,0.37718654
ENSG00000231131,0.0106296,0.119763546,16.861126,0.067643866,0.0,0.089550525,0.031127028,0.086097285,0.13175681,0.0,0.0,0.0
ENSG00000231171,16.625662,1.5349555,1.8117324,1.7280759,1.5289998,0.5378045,2.7036047,1.3180306,0.6239473,0.5252654,0.0,0.7543731
ENSG00000231246,2.5265882,156.17287,17.455124,3.5835993,2.366346,54.23146,2.5246825,27.790586,20.912077,1.4595693,6.6166635,9.40805
ENSG00000231252,1.0516307,237.22525,3.11707,5.4616733,20.199018,1.3283156,7.13582,0.6909049,75.88166,4.1015606,9.104924,5.09783
ENSG00000231427,34.425957,1.2270832,1.1213939,0.16584279,0.76269495,0.031812336,0.43359137,0.39266703,0.36039156,0.61479944,0.0,0.0
ENSG00000231557,0.5466648,1.0727595,0.417926,0.6224868,0.27479863,0.23214884,0.611101,0.16408044,399.1896,0.41602874,0.0,0.0
ENSG00000231758,0.06830785,0.32694542,0.48405182,0.6046447,5.723058,0.0,0.34243786,0.0,0.0,0.0,0.0,0.0
ENSG00000231764,0.1511582,0.3681224,0.2458999,13.751846,0.46264517,0.11078598,96.363815,0.67451185,0.10273205,0.026906991,0.0,0.0
ENSG00000231824,0.236067,0.06890688,0.0628069,5.343125,0.1650247,0.05933514,2.7934313,0.039433125,0.0,0.16144195,32.114647,0.37718654
ENSG00000231826,0.29194075,9.959157,1.6858844,0.050656807,0.05238117,0.68285984,0.37042132,0.19633351,0.99511594,0.0,0.0,0.0
ENSG00000231871,27.03048,25.426502,19.204689,15.193332,114.25263,16.85296,18.191603,16.737473,7.8510313,10.578863,4.565112,15.357613
ENSG00000232046,1.5092576,0.9945852,1.0499259,3.7588117,1.5493531,0.2242442,2.3134217,0.086097285,8.98055,1.1541464,327.1939,1.1852821
ENSG00000232077,1.7296063,0.9038219,0.4593902,2.0726035,2.2468812,2.5077136,1.3875691,1.969831,0.6270636,2.7334456,1.2567804,6.2498746
ENSG00000232084,0.027552756,0.05793165,0.0,0.6248473,0.0,0.0,0.54802287,0.039433125,0.10273205,5.040463,0.0,0.0
ENSG00000232560,16.388752,0.80671847,1.7856399,0.086587004,0.28297934,0.34989658,0.07928522,0.5361881,0.09199717,0.0,0.0,0.0
