cohort,method,donor,marker_z,da_z,y
GSE7621,music,GSM184375,-0.5946038859749393,-0.4708897259561212,1
GSE7621,music,GSM184376,-0.31862676175686877,-0.4708897259561212,1
GSE7621,music,GSM184377,-0.6488450356859407,-0.4708897259561212,1
GSE7621,music,GSM184378,0.192703826433169,-0.42547836199467376,1
GSE20292,nnls,GSM508708,-0.20420432538581387,-0.1889822365046136,0
GSE20292,nnls,GSM508710,-0.3830577195266037,-0.1889822365046136,1
GSE20292,nnls,GSM508711,-0.3635507340633006,-0.1889822365046136,1
GSE20292,nnls,GSM508712,-0.3159606957304477,-0.1889822365046136,1
GSE20292,nnls,GSM508713,-0.4152658756417103,-0.1889822365046136,1
GSE20292,nnls,GSM508714,-0.401131370628702,-0.1889822365046136,1
GSE20292,nnls,GSM508715,-0.39783555845732615,-0.1889822365046136,1
GSE20292,nnls,GSM508716,-0.4063311080890273,-0.1889822365046136,1
GSE20292,nnls,GSM508717,-0.37189733778881173,-0.1889822365046136,0
GSE20292,nnls,GSM508718,-0.3888743389826972,-0.1889822365046136,1
GSE20292,nnls,GSM508720,-0.2306874035074744,-0.1889822365046136,0
GSE20292,nnls,GSM508721,-0.3695259893670364,-0.1889822365046136,0
GSE20292,nnls,GSM508722,-0.2513593468427562,-0.1889822365046136,0
GSE20292,nnls,GSM508723,-0.3400158884021384,-0.1889822365046136,0
GSE20292,nnls,GSM508724,-0.26400931781923687,-0.1889822365046136,0
GSE20292,nnls,GSM508725,-0.400561350877595,-0.1889822365046136,0
GSE20292,nnls,GSM508726,-0.3713579834719374,-0.1889822365046136,0
GSE20292,nnls,GSM508728,-0.3712260431169795,-0.1889822365046136,1
GSE20292,nnls,GSM508729,-0.3460137061836788,-0.1889822365046136,0
GSE20292,nnls,GSM508730,-0.3290440009708822,-0.1889822365046136,0
GSE20292,nnls,GSM508731,-0.3462985572140215,-0.1889822365046136,1
GSE20292,nnls,GSM508732,-0.40182018054612056,-0.1889822365046136,1
GSE20292,nnls,GSM508733,-0.19080487204462038,-0.1889822365046136,0
GSE20292,nnls,GSM508734,-0.4131630314875783,-0.1889822365046136,0
GSE20292,nnls,GSM508735,-0.14674462607927152,-0.1889822365046136,0
GSE20292,nnls,GSM521253,-0.33904988834290234,-0.1889822365046136,0
GSE20292,nnls,GSM606624,2.9374312864237573,-0.1889822365046136,0
GSE20292,nnls,GSM606625,3.3158185503814415,5.2915026221291805,0
GSE20292,nnls,GSM606626,2.506541413763472,-0.1889822365046136,0
GSE20292,nusvr,GSM508708,-0.20420432538581387,2.6363135853419783,0
GSE20292,nusvr,GSM508710,-0.3830577195266037,-0.23631855057955425,1
GSE20292,nusvr,GSM508711,-0.3635507340633006,-1.4833662818121696,1
GSE20292,nusvr,GSM508712,-0.3159606957304477,-0.7598342623790115,1
GSE20292,nusvr,GSM508713,-0.4152658756417103,-0.14336047348969416,1
GSE20292,nusvr,GSM508714,-0.401131370628702,-1.1641680036687356,1
GSE20292,nusvr,GSM508715,-0.39783555845732615,-0.5059682859376338,1
GSE20292,nusvr,GSM508716,-0.4063311080890273,0.21865225320021092,1
GSE20292,nusvr,GSM508717,-0.37189733778881173,-0.45006592143271823,0
GSE20292,nusvr,GSM508718,-0.3888743389826972,0.17420474410939218,1
GSE20292,nusvr,GSM508720,-0.2306874035074744,1.2534153006348636,0
GSE20292,nusvr,GSM508721,-0.3695259893670364,-0.5149509523582955,0
GSE20292,nusvr,GSM508722,-0.2513593468427562,-0.4555140560662574,0
GSE20292,nusvr,GSM508723,-0.3400158884021384,0.8098085972683433,0
GSE20292,nusvr,GSM508724,-0.26400931781923687,1.7147489655274635,0
GSE20292,nusvr,GSM508725,-0.400561350877595,-1.4833662818121696,0
GSE20292,nusvr,GSM508726,-0.3713579834719374,0.14200418897216452,0
GSE20292,nusvr,GSM508728,-0.3712260431169795,0.5223234337940432,1
GSE20292,nusvr,GSM508729,-0.3460137061836788,0.4560393815848091,0
GSE20292,nusvr,GSM508730,-0.3290440009708822,-0.43816306957345,0
GSE20292,nusvr,GSM508731,-0.3462985572140215,-0.20477820871842145,1
