list,library,term,size,hits,genes,p,q_BH,fwer_random,p_vs_matched,fwer_matched
up,GO:BP,Regulation Of Cell Cycle (GO:0051726),120,2,"L3MBTL1, TRRAP",0.05533474099674841,1.0,0.9985007496251874,0.1714142928535732,0.9985007496251874
up,Reactome,GPCR Downstream Signaling R-HSA-388396,126,2,"GPNMB, PRKAR2A",0.06034892860736531,1.0,0.9985007496251874,0.05647176411794103,0.9985007496251874
up,GO:MF,Zinc Ion Binding (GO:0008270),133,2,"CALB1, ZMYND8",0.0663934688214211,1.0,0.9985007496251874,0.09945027486256872,0.9985007496251874
up,Reactome,Signaling By GPCR R-HSA-372790,134,2,"GPNMB, PRKAR2A",0.0672734832155077,1.0,0.9985007496251874,0.07296351824087956,0.9985007496251874
up,GO:CC,Dendrite (GO:0030425),138,2,"CALB1, CALB2",0.07083354406710797,1.0,0.9985007496251874,0.03648175912043978,0.9985007496251874
up,GO:BP,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),149,2,"FUS, TRRAP",0.08094013932457787,1.0,0.9995002498750625,0.1934032983508246,0.999000499750125
up,GO:MF,Transition Metal Ion Binding (GO:0046914),174,2,"CALB1, ZMYND8",0.10545849007998359,1.0,1.0,0.12393803098450774,0.999000499750125
up,GO:BP,Negative Regulation Of Cellular Process (GO:0048523),179,2,"GPNMB, PLXNC1",0.1105915363283817,1.0,1.0,0.051974012993503245,0.999000499750125
up,Reactome,Hemostasis R-HSA-109582,194,2,"MANF, PRKAR2A",0.1263902312557116,1.0,1.0,0.1729135432283858,0.999000499750125
up,GO:CC,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),474,3,"FUS, L3MBTL1, ZMYND8",0.1896570129875956,1.0,1.0,0.16041979010494753,0.9995002498750625
up,GO:BP,Regulation Of Apoptotic Process (GO:0042981),257,2,"CFLAR, TRRAP",0.19771159060077742,1.0,1.0,0.4357821089455272,0.9995002498750625
up,Reactome,Axon Guidance R-HSA-422475,267,2,"PLXNC1, PRKAR2A",0.20954796023698757,1.0,1.0,0.07846076961519241,0.9995002498750625
up,GO:CC,Neuron Projection (GO:0043005),276,2,"CALB1, CALB2",0.22027845043281216,1.0,1.0,0.09695152423788106,0.9995002498750625
up,Reactome,Nervous System Development R-HSA-9675108,276,2,"PLXNC1, PRKAR2A",0.22027845043281216,1.0,1.0,0.07846076961519241,0.9995002498750625
up,GO:CC,Intracellular Organelle Lumen (GO:0070013),296,2,"GSTK1, MANF",0.2443269386488887,1.0,1.0,0.17191404297851073,1.0
up,GO:CC,Nucleolus (GO:0005730),319,2,"L3MBTL1, ZMYND8",0.2722013493559403,1.0,1.0,0.239880059970015,1.0
up,GO:CC,Nuclear Lumen (GO:0031981),321,2,"L3MBTL1, ZMYND8",0.2746310811277332,1.0,1.0,0.29735132433783107,1.0
up,GO:BP,Regulation Of Gene Expression (GO:0010468),374,2,"FUS, TRRAP",0.3389032717411651,1.0,1.0,0.5412293853073463,1.0
up,Reactome,Developmental Biology R-HSA-1266738,384,2,"PLXNC1, PRKAR2A",0.3509324123623178,1.0,1.0,0.21989005497251374,1.0
up,GO:BP,Positive Regulation Of DNA-templated Transcription (GO:0045893),415,2,"ICE1, TRRAP",0.387841932470041,1.0,1.0,0.6841579210394803,1.0
up,Reactome,RNA Polymerase II Transcription R-HSA-73857,437,2,"ICE1, L3MBTL1",0.4135925640545423,1.0,1.0,0.5377311344327836,1.0
up,Reactome,Gene Expression (Transcription) R-HSA-74160,497,2,"ICE1, L3MBTL1",0.48137325732546415,1.0,1.0,0.6121939030484758,1.0
